Jornada,fechaUTC,Hora,Equipo A,equipoAId,Equipo B,equipoBId,instalaciones,campo
1,5/11/2025,20:30:00,Vikingos Futbol Club,11,Cultural Recompensa,3,CIUTAT_ESPORTIVA_E,1
1,5/11/2025,20:30:00,Dyermatic CF,4,FC Trans Emmar,5,CIUTAT_ESPORTIVA_E,2
1,6/11/2025,20:30:00,Vodka Juniors,12,Maradona FC,7,CHENCHO_B,2
1,7/11/2025,20:30:00,Al-Hachis FC,2,Inafuma y Beben,6,CIUTAT_ESPORTIVA_E,1
1,7/11/2025,20:30:00,Tuerzebotas FC,10,UD Chancla,1,CIUTAT_ESPORTIVA_D,2
1,7/11/2025,20:30:00,Ozempic de Lyon FC,8,Sense Remei FC,9,CIUTAT_ESPORTIVA_E,2
2,12/11/2025,20:30:00,Maradona FC,7,Al-Hachis FC,2,CIUTAT_ESPORTIVA_E,1
2,12/11/2025,20:30:00,Inafuma y Beben,6,Ozempic de Lyon FC,8,CIUTAT_ESPORTIVA_E,2
2,13/11/2025,20:30:00,FC Trans Emmar,5,UD Chancla,1,CHENCHO_B,2
2,14/11/2025,20:30:00,Dyermatic CF,4,Vodka Juniors,12,CIUTAT_ESPORTIVA_E,1
2,14/11/2025,20:30:00,Sense Remei FC,9,Vikingos Futbol Club,11,CIUTAT_ESPORTIVA_D,2
2,14/11/2025,20:30:00,Cultural Recompensa,3,Tuerzebotas FC,10,CIUTAT_ESPORTIVA_E,2
3,19/11/2025,20:30:00,Ozempic de Lyon FC,8,Maradona FC,7,CIUTAT_ESPORTIVA_E,1
3,19/11/2025,20:30:00,Vodka Juniors,12,FC Trans Emmar,5,CIUTAT_ESPORTIVA_E,2
3,20/11/2025,20:30:00,Vikingos Futbol Club,11,Inafuma y Beben,6,CHENCHO_B,2
3,21/11/2025,20:30:00,Tuerzebotas FC,10,Sense Remei FC,9,CIUTAT_ESPORTIVA_E,1
3,21/11/2025,20:30:00,UD Chancla,1,Cultural Recompensa,3,CIUTAT_ESPORTIVA_D,2
3,21/11/2025,20:30:00,Al-Hachis FC,2,Dyermatic CF,4,CIUTAT_ESPORTIVA_E,2
4,26/11/2025,20:30:00,Dyermatic CF,4,Ozempic de Lyon FC,8,CIUTAT_ESPORTIVA_E,1
4,26/11/2025,20:30:00,Maradona FC,7,Vikingos Futbol Club,11,CIUTAT_ESPORTIVA_E,2
4,27/11/2025,20:30:00,FC Trans Emmar,5,Cultural Recompensa,3,CHENCHO_B,2
4,28/11/2025,20:30:00,Inafuma y Beben,6,Tuerzebotas FC,10,CIUTAT_ESPORTIVA_E,1
4,28/11/2025,20:30:00,Vodka Juniors,12,Al-Hachis FC,2,CIUTAT_ESPORTIVA_D,2
4,28/11/2025,20:30:00,Sense Remei FC,9,UD Chancla,1,CIUTAT_ESPORTIVA_E,2
5,3/12/2025,20:30:00,Ozempic de Lyon FC,8,Vodka Juniors,12,CIUTAT_ESPORTIVA_E,1
