Jornada,fechaUTC,Hora,Equipo A,equipoAId,Equipo B,equipoBId,instalaciones,campo
1,26/2/2026,20:30:00,VIKINGOS FUTBOL CLUB,11,NOTTINGHAM GUARDIA FC,13,CHENCHO_B,2
1,27/2/2026,20:30:00,UD CHANCLA,1,AL-HACHIS FC,2,CIUTAT_ESPORTIVA_D,2
1,27/2/2026,20:30:00,DYERMATIC CF,4,TUERZEBOTAS FC,10,CIUTAT_ESPORTIVA_E,2
2,4/3/2026,20:30:00,VIKINGOS FUTBOL CLUB,11,DYERMATIC CF,4,CHENCHO_B,2
2,6/3/2026,20:30:00,TUERZEBOTAS FC,10,UD CHANCLA,1,CIUTAT_ESPORTIVA_D,2
2,6/3/2026,20:30:00,NOTTINGHAM GUARDIA FC,13,AL-HACHIS FC,2,CIUTAT_ESPORTIVA_E,2
3,26/3/2026,20:30:00,DYERMATIC CF,4,NOTTINGHAM GUARDIA FC,13,CHENCHO_B,2
3,27/3/2026,20:30:00,AL-HACHIS FC,2,TUERZEBOTAS FC,10,CIUTAT_ESPORTIVA_D,2
3,27/3/2026,20:30:00,UD CHANCLA,1,VIKINGOS FUTBOL CLUB,11,CIUTAT_ESPORTIVA_E,2
4,15/4/2026,20:30:00,UD CHANCLA,1,DYERMATIC CF,4,CHENCHO_B,2
4,17/4/2026,20:30:00,VIKINGOS FUTBOL CLUB,11,AL-HACHIS FC,2,CIUTAT_ESPORTIVA_D,2
4,17/4/2026,20:30:00,NOTTINGHAM GUARDIA FC,13,TUERZEBOTAS FC,10,CIUTAT_ESPORTIVA_E,2
5,22/4/2026,20:30:00,UD CHANCLA,1,NOTTINGHAM GUARDIA FC,13,CHENCHO_B,2
5,24/4/2026,20:30:00,TUERZEBOTAS FC,10,VIKINGOS FUTBOL CLUB,11,CIUTAT_ESPORTIVA_D,2
5,24/4/2026,20:30:00,DYERMATIC CF,4,AL-HACHIS FC,2,CIUTAT_ESPORTIVA_E,2
6,7/5/2026,20:30:00,NOTTINGHAM GUARDIA FC,13,VIKINGOS FUTBOL CLUB,11,CHENCHO_B,2
6,8/5/2026,20:30:00,AL-HACHIS FC,2,UD CHANCLA,1,CIUTAT_ESPORTIVA_D,2
6,8/5/2026,20:30:00,TUERZEBOTAS FC,10,DYERMATIC CF,4,CIUTAT_ESPORTIVA_E,2
7,13/5/2026,20:30:00,DYERMATIC CF,4,VIKINGOS FUTBOL CLUB,11,CHENCHO_B,2
7,15/5/2026,20:30:00,AL-HACHIS FC,2,NOTTINGHAM GUARDIA FC,13,CIUTAT_ESPORTIVA_D,2
7,15/5/2026,20:30:00,UD CHANCLA,1,TUERZEBOTAS FC,10,CIUTAT_ESPORTIVA_E,2
8,21/5/2026,20:30:00,NOTTINGHAM GUARDIA FC,13,DYERMATIC CF,4,CHENCHO_B,2
8,22/5/2026,20:30:00,TUERZEBOTAS FC,10,AL-HACHIS FC,2,CIUTAT_ESPORTIVA_D,2
8,22/5/2026,20:30:00,VIKINGOS FUTBOL CLUB,11,UD CHANCLA,1,CIUTAT_ESPORTIVA_E,2
9,27/5/2026,20:30:00,DYERMATIC CF,4,UD CHANCLA,1,CHENCHO_B,2
9,29/5/2026,20:30:00,AL-HACHIS FC,2,VIKINGOS FUTBOL CLUB,11,CIUTAT_ESPORTIVA_D,2
9,29/5/2026,20:30:00,TUERZEBOTAS FC,10,NOTTINGHAM GUARDIA FC,13,CIUTAT_ESPORTIVA_E,2
10,3/6/2026,20:30:00,NOTTINGHAM GUARDIA FC,13,UD CHANCLA,1,CHENCHO_B,2
10,5/6/2026,20:30:00,VIKINGOS FUTBOL CLUB,11,TUERZEBOTAS FC,10,CIUTAT_ESPORTIVA_D,2
10,5/6/2026,20:30:00,AL-HACHIS FC,2,DYERMATIC CF,4,CIUTAT_ESPORTIVA_E,2
