idA,equipoA,golesA,idB,equipoB,golesB,ganador
2,AL-HACHIS FC,0,6,INAFUMA Y BEBEN,4,B
8,OZEMPIC DE LYON FC,2,9,SENSE REMEI FC,0,A
11,VIKINGOS FUTBOL CLUB,1,3,CULTURAL RECOMPENSA,2,B
10,TUERZEBOTAS FC,3,1,UD CHANCLA,0,A
4,DYERMATIC CF,4,5,FC TRANS EMMAR,4,EMPATE
12,VODKA JUNIORS,4,7,MARADONA FC,7,B
6,INAFUMA Y BEBEN,2,8,OZEMPIC DE LYON FC,3,B
7,MARADONA FC,4,2,AL-HACHIS FC,2,A
4,DYERMATIC CF,3,12,VODKA JUNIORS,0,A
5,FC TRANS EMMAR,9,1,UD CHANCLA,0,A
3,CULTURAL RECOMPENSA,0,10,TUERZEBOTAS FC,1,B
9,SENSE REMEI FC,2,11,VIKINGOS FUTBOL CLUB,1,A
11,VIKINGOS FUTBOL CLUB,4,6,INAFUMA Y BEBEN,0,A
10,TUERZEBOTAS FC,2,9,SENSE REMEI FC,2,EMPATE
1,UD CHANCLA,0,3,CULTURAL RECOMPENSA,4,B
12,VODKA JUNIORS,7,5,FC TRANS EMMAR,4,A
2,AL-HACHIS FC,2,4,DYERMATIC CF,3,B
8,OZEMPIC DE LYON FC,1,7,MARADONA FC,3,B
12,VODKA JUNIORS,1,2,AL-HACHIS FC,1,EMPATE
5,FC TRANS EMMAR,0,3,CULTURAL RECOMPENSA,5,B
9,SENSE REMEI FC,8,1,UD CHANCLA,1,A
6,INAFUMA Y BEBEN,1,10,TUERZEBOTAS FC,1,EMPATE
7,MARADONA FC,5,11,VIKINGOS FUTBOL CLUB,0,A
4,DYERMATIC CF,2,8,OZEMPIC DE LYON FC,5,B
3,CULTURAL RECOMPENSA,4,9,SENSE REMEI FC,2,A
2,AL-HACHIS FC,1,5,FC TRANS EMMAR,5,B
8,OZEMPIC DE LYON FC,2,12,VODKA JUNIORS,2,EMPATE
11,VIKINGOS FUTBOL CLUB,4,4,DYERMATIC CF,3,A
10,TUERZEBOTAS FC,1,7,MARADONA FC,6,B
1,UD CHANCLA,4,6,INAFUMA Y BEBEN,7,B
7,MARADONA FC,5,1,UD CHANCLA,1,A
4,DYERMATIC CF,2,10,TUERZEBOTAS FC,9,B
12,VODKA JUNIORS,3,11,VIKINGOS FUTBOL CLUB,2,A
2,AL-HACHIS FC,1,8,OZEMPIC DE LYON FC,0,A
5,FC TRANS EMMAR,2,9,SENSE REMEI FC,3,B
6,INAFUMA Y BEBEN,0,3,CULTURAL RECOMPENSA,11,B
8,OZEMPIC DE LYON FC,0,5,FC TRANS EMMAR,6,B
11,VIKINGOS FUTBOL CLUB,0,2,AL-HACHIS FC,4,B
10,TUERZEBOTAS FC,0,12,VODKA JUNIORS,4,B
1,UD CHANCLA,,4,DYERMATIC CF,,A_NO_PRESENTADO
3,CULTURAL RECOMPENSA,5,7,MARADONA FC,1,A
9,SENSE REMEI FC,8,6,INAFUMA Y BEBEN,3,A
4,DYERMATIC CF,7,3,CULTURAL RECOMPENSA,1,A
12,VODKA JUNIORS,6,1,UD CHANCLA,2,A
2,AL-HACHIS FC,2,10,TUERZEBOTAS FC,0,A
8,OZEMPIC DE LYON FC,7,11,VIKINGOS FUTBOL CLUB,0,A
5,FC TRANS EMMAR,5,6,INAFUMA Y BEBEN,2,A
7,MARADONA FC,5,9,SENSE REMEI FC,3,A
1,UD CHANCLA,1,2,AL-HACHIS FC,7,B
3,CULTURAL RECOMPENSA,2,12,VODKA JUNIORS,4,B
9,SENSE REMEI FC,2,4,DYERMATIC CF,1,A
6,INAFUMA Y BEBEN,0,7,MARADONA FC,5,B
11,VIKINGOS FUTBOL CLUB,2,5,FC TRANS EMMAR,4,B
10,TUERZEBOTAS FC,3,8,OZEMPIC DE LYON FC,4,B
12,VODKA JUNIORS,0,9,SENSE REMEI FC,3,B
2,AL-HACHIS FC,2,3,CULTURAL RECOMPENSA,5,B
8,OZEMPIC DE LYON FC,7,1,UD CHANCLA,1,A
11,VIKINGOS FUTBOL CLUB,3,10,TUERZEBOTAS FC,2,A
5,FC TRANS EMMAR,2,7,MARADONA FC,5,B
4,DYERMATIC CF,8,6,INAFUMA Y BEBEN,2,A
10,TUERZEBOTAS FC,1,5,FC TRANS EMMAR,8,B
1,UD CHANCLA,1,11,VIKINGOS FUTBOL CLUB,3,B
3,CULTURAL RECOMPENSA,3,8,OZEMPIC DE LYON FC,0,B_NO_PRESENTADO
9,SENSE REMEI FC,0,2,AL-HACHIS FC,1,B
6,INAFUMA Y BEBEN,3,12,VODKA JUNIORS,4,B
7,MARADONA FC,5,4,DYERMATIC CF,2,A
